iter	Accuracy	Logloss
0	0.7658024064	0.6887099819
1	0.7690221996	0.6843948418
2	0.7812235214	0.6796126509
3	0.780715133	0.6750885103
4	0.780715133	0.6710116096
5	0.7834265379	0.6663702333
6	0.7839349263	0.6627039023
7	0.7844433147	0.6584609738
8	0.7829181495	0.6548849853
9	0.7859684799	0.650114984
10	0.7852906287	0.6460022395
11	0.7847822403	0.6420380362
12	0.7849517031	0.6382357862
13	0.7863074055	0.6353455557
14	0.7874936451	0.6315633727
15	0.7900355872	0.6279917134
16	0.793594306	0.624698377
17	0.7932553804	0.6210777004
18	0.7952889341	0.6176179773
19	0.7964751737	0.6140985156
20	0.7939332317	0.6109027191
21	0.7976614133	0.6066392577
22	0.7949500085	0.60358698
23	0.7976614133	0.6007131403
24	0.7998644298	0.5971919391
25	0.7988476529	0.5940499864
26	0.7969835621	0.5917749495
27	0.7951194713	0.5889261701
28	0.7956278597	0.5862611165
29	0.7952889341	0.5840277203
30	0.7954583969	0.5814514497
31	0.7949500085	0.5789181363
32	0.7959667853	0.5762089647
33	0.7957973225	0.5731589397
34	0.7964751737	0.5712212803
35	0.7952889341	0.5687078598
36	0.7964751737	0.5665655868
37	0.7971530249	0.5635150113
38	0.7963057109	0.5612541284
39	0.7966446365	0.5594182698
40	0.7963057109	0.5570912167
41	0.7957973225	0.5545414797
42	0.7961362481	0.5525414406
43	0.7954583969	0.5503824819
44	0.7961362481	0.5484911373
45	0.7956278597	0.5461232576
46	0.7966446365	0.5438343342
47	0.7974919505	0.541669165
48	0.7973224877	0.5396830994
49	0.7980003389	0.5375722002
50	0.7986781901	0.5355996167
51	0.7988476529	0.5327287742
52	0.7986781901	0.5312334773
53	0.7990171157	0.5292343697
54	0.7981698017	0.5271946576
55	0.7986781901	0.5254178757
56	0.7991865785	0.5238997835
57	0.8002033554	0.5215136176
58	0.8007117438	0.5200189243
59	0.7998644298	0.5185015315
60	0.7991865785	0.5168830572
61	0.799694967	0.5155691002
62	0.8000338926	0.5142274054
63	0.8002033554	0.5126389965
64	0.7995255042	0.5111235728
65	0.7998644298	0.5101871689
66	0.8002033554	0.5091978956
67	0.7995255042	0.5078837624
68	0.8002033554	0.5067781245
69	0.800542281	0.5058147713
70	0.8008812066	0.5045824364
71	0.7998644298	0.5034385158
72	0.7995255042	0.5023349845
73	0.799694967	0.501112021
74	0.7998644298	0.4998486012
75	0.8002033554	0.49844298
76	0.800542281	0.4973205752
77	0.8007117438	0.4966247149
78	0.801389595	0.4949252638
79	0.802236909	0.4937151379
80	0.802236909	0.4928915264
81	0.802236909	0.4919402016
82	0.8020674462	0.4911791049
83	0.8029147602	0.4902702656
84	0.8034231486	0.4887954312
85	0.803084223	0.4876154481
86	0.8029147602	0.4867115077
87	0.8029147602	0.48584045
88	0.802236909	0.4853091854
89	0.8029147602	0.4840286111
90	0.803084223	0.4830553691
91	0.8029147602	0.4821802049
92	0.803084223	0.4807218986
93	0.8032536858	0.4800532756
94	0.8029147602	0.4792221547
95	0.8029147602	0.4783287672
96	0.8032536858	0.4776414161
97	0.8032536858	0.4767260663
98	0.8032536858	0.4759021854
99	0.803084223	0.4749916938
100	0.8034231486	0.4737672527
101	0.8034231486	0.4728653926
102	0.8037620742	0.4720849774
103	0.803931537	0.4714426384
104	0.8041009998	0.4707854521
105	0.8042704626	0.4700455568
106	0.8042704626	0.468939263
107	0.8049483138	0.4681810321
108	0.8049483138	0.467609264
109	0.8049483138	0.4668678755
110	0.8051177766	0.4664208165
111	0.804778851	0.4657597429
112	0.8049483138	0.465214796
113	0.8051177766	0.4647834151
114	0.8052872395	0.4640570331
115	0.8049483138	0.4629942826
116	0.8052872395	0.4623538232
117	0.8052872395	0.4621010394
118	0.8056261651	0.4611979584
119	0.8068124047	0.4604138391
120	0.8063040163	0.459704157
121	0.8064734791	0.4589250072
122	0.8064734791	0.4583948191
123	0.8073207931	0.4577433101
124	0.8073207931	0.4572744041
125	0.8074902559	0.4567743733
126	0.8074902559	0.4563175816
127	0.8068124047	0.4557359394
128	0.8069818675	0.4549500734
129	0.8066429419	0.4544201465
130	0.8069818675	0.4539638382
131	0.8073207931	0.4531855506
132	0.8068124047	0.4528293427
133	0.8081681071	0.4521163277
134	0.8078291815	0.4516752543
135	0.8079986443	0.4512520354
136	0.8081681071	0.4506167312
137	0.8081681071	0.4502886697
138	0.8081681071	0.4499155128
139	0.8086764955	0.4495634858
140	0.8083375699	0.4489620766
141	0.8076597187	0.4483658366
142	0.8085070327	0.4479839853
143	0.8081681071	0.4477274739
144	0.8081681071	0.4469050449
145	0.8095238095	0.4465641591
146	0.8093543467	0.4462777581
147	0.8096932723	0.4455391319
148	0.8095238095	0.4450061378
149	0.8096932723	0.4445858991
150	0.8098627351	0.4443495963
151	0.8096932723	0.4440768626
152	0.8093543467	0.4436797749
153	0.8100321979	0.4432566405
154	0.8098627351	0.4428521139
155	0.8107100491	0.4425009891
156	0.8107100491	0.4421979504
157	0.8110489748	0.4415086138
158	0.8110489748	0.4411452158
159	0.8108795119	0.4407782823
160	0.8113879004	0.440535406
161	0.8108795119	0.4402632221
162	0.8112184376	0.4399888951
163	0.8112184376	0.4397867203
164	0.8122352144	0.439592734
165	0.8122352144	0.4391009399
166	0.8124046772	0.4387495189
167	0.8120657516	0.4383516045
168	0.81257414	0.4378836506
169	0.81257414	0.4372275596
170	0.8122352144	0.4365251137
171	0.8132519912	0.4360460488
172	0.81257414	0.4354542195
173	0.8130825284	0.4349637208
174	0.8135909168	0.4343604554
175	0.8132519912	0.4341250713
176	0.8137603796	0.4337254739
177	0.8135909168	0.4334861028
178	0.8135909168	0.4332416906
179	0.8135909168	0.4329524587
180	0.8140993052	0.4326913749
181	0.8140993052	0.4323309373
182	0.8140993052	0.4320515265
183	0.8146076936	0.4318657094
184	0.8144382308	0.4316368982
185	0.8146076936	0.4314112825
186	0.8147771564	0.4308513071
187	0.8146076936	0.4307158062
188	0.8149466192	0.4304480516
189	0.815116082	0.4301935679
190	0.8152855448	0.4300493232
191	0.8152855448	0.4298370681
192	0.8157939332	0.4293306364
193	0.815116082	0.4290594188
194	0.8154550076	0.4284325922
195	0.8154550076	0.4282997221
196	0.8154550076	0.4280399467
197	0.815963396	0.427700922
198	0.815963396	0.4274437026
199	0.8154550076	0.4272478212
200	0.8157939332	0.4271410855
201	0.8154550076	0.4268494549
202	0.8156244704	0.4266034778
203	0.8156244704	0.4265372148
204	0.815963396	0.4261533441
205	0.815963396	0.4257686704
206	0.8152855448	0.4255871893
207	0.815116082	0.4253932499
208	0.8144382308	0.4251520156
209	0.8144382308	0.4249831326
210	0.8144382308	0.4248377913
211	0.8146076936	0.4246891942
212	0.8146076936	0.4244346316
213	0.8146076936	0.4243233946
214	0.815116082	0.4240695834
215	0.8154550076	0.4236386514
216	0.8156244704	0.4233942637
217	0.8156244704	0.4232186964
218	0.8156244704	0.4230195841
219	0.8154550076	0.4227254773
220	0.8152855448	0.4223679892
221	0.8154550076	0.4221757609
222	0.8154550076	0.421911137
223	0.8149466192	0.4217507232
224	0.815116082	0.4215668645
225	0.8147771564	0.4213852505
226	0.8147771564	0.4211899583
227	0.8146076936	0.4210668398
228	0.8147771564	0.4209272081
229	0.815116082	0.4206902271
230	0.8152855448	0.4204505166
231	0.8154550076	0.4203555065
232	0.8152855448	0.4201561988
233	0.815116082	0.419931585
234	0.8156244704	0.4195856739
235	0.8156244704	0.4194908219
236	0.8157939332	0.4191595594
237	0.8166412472	0.4189547913
238	0.8161328588	0.4186797678
239	0.81681071	0.418427346
240	0.81681071	0.4183394892
241	0.8163023216	0.41815374
242	0.8161328588	0.4180031639
243	0.8173190985	0.4176023968
244	0.8176580241	0.4174195801
245	0.8174885613	0.417215987
246	0.8171496357	0.4170741481
247	0.8179969497	0.4165742248
248	0.8185053381	0.4164360267
249	0.8181664125	0.416321421
250	0.8183358753	0.4161191749
251	0.8188442637	0.4156933723
252	0.8186748009	0.4155382536
253	0.8188442637	0.4154687468
254	0.8186748009	0.415280113
255	0.8185053381	0.4148340108
256	0.8185053381	0.4147362762
257	0.8190137265	0.4145567212
258	0.8191831893	0.4143937723
259	0.8191831893	0.414279814
260	0.8191831893	0.4142003924
261	0.8191831893	0.4140851454
262	0.8193526521	0.4139913743
263	0.8196915777	0.4138853464
264	0.8195221149	0.4135160975
265	0.8196915777	0.4133324138
266	0.8198610405	0.4130485919
267	0.8198610405	0.4129169313
268	0.8196915777	0.4127710652
269	0.8198610405	0.4126701602
270	0.8198610405	0.4124830248
271	0.8200305033	0.4124078654
272	0.8198610405	0.4122432278
273	0.8198610405	0.4121279156
274	0.8201999661	0.4120272699
275	0.8201999661	0.4119241337
276	0.8203694289	0.4118831395
277	0.8200305033	0.4116152819
278	0.8201999661	0.4115101991
279	0.8205388917	0.4114403905
280	0.8205388917	0.4112967904
281	0.8205388917	0.4112194494
282	0.8205388917	0.4109864354
283	0.8205388917	0.410900013
284	0.8203694289	0.4107015855
285	0.8203694289	0.41060153
286	0.8201999661	0.4104845825
287	0.8203694289	0.410332952
288	0.8201999661	0.4101495211
289	0.8205388917	0.4099968064
290	0.8205388917	0.4099627232
291	0.8201999661	0.4098967167
292	0.8208778173	0.4097970016
293	0.8208778173	0.4096981448
294	0.8208778173	0.4095277002
295	0.8210472801	0.4094750247
296	0.8208778173	0.409403428
297	0.8212167429	0.4093262309
298	0.8213862057	0.4092066995
299	0.8213862057	0.4090813423
300	0.8215556685	0.4087575574
301	0.8218945941	0.4086670208
302	0.8215556685	0.4084472626
303	0.8215556685	0.4083581701
304	0.8217251313	0.4083170572
305	0.8215556685	0.408202712
306	0.8213862057	0.408117717
307	0.8213862057	0.4080585285
308	0.8213862057	0.4079839358
309	0.8213862057	0.4078287202
310	0.8217251313	0.4076921293
311	0.8218945941	0.4075804223
312	0.8218945941	0.4074800262
313	0.8220640569	0.407434097
314	0.8218945941	0.4073324396
315	0.8220640569	0.4072519585
316	0.8218945941	0.4070131847
317	0.8222335197	0.4069540507
318	0.8224029825	0.4069027352
319	0.8220640569	0.4067309237
320	0.8222335197	0.4064179265
321	0.8222335197	0.406346777
322	0.8222335197	0.4062313321
323	0.8222335197	0.4061825337
324	0.8225724453	0.4060140416
325	0.8224029825	0.4058731032
326	0.8224029825	0.4057883126
327	0.8225724453	0.40573228
328	0.8227419082	0.4056593315
329	0.8227419082	0.4055975814
330	0.8225724453	0.4055200384
331	0.8230808338	0.4053759085
332	0.8230808338	0.4053364141
333	0.8227419082	0.4052640692
334	0.822911371	0.4052037092
335	0.822911371	0.4051324922
336	0.8230808338	0.4050599233
337	0.8230808338	0.4048561544
338	0.8227419082	0.4047780927
339	0.8227419082	0.4047053173
340	0.8227419082	0.404625324
341	0.8225724453	0.404364597
342	0.8225724453	0.4043253753
343	0.8225724453	0.404290338
344	0.8225724453	0.404258007
345	0.8225724453	0.4041684967
346	0.822911371	0.4040865083
347	0.8230808338	0.4037148261
348	0.822911371	0.4035213947
349	0.8230808338	0.4034623999
350	0.822911371	0.4033099179
351	0.8227419082	0.4032490597
352	0.8230808338	0.4032143661
353	0.822911371	0.4031282491
354	0.8230808338	0.402932906
355	0.8230808338	0.4028812205
356	0.8230808338	0.4025442651
357	0.8230808338	0.4024537736
358	0.8224029825	0.4022869052
359	0.8227419082	0.4022051506
360	0.822911371	0.4021647499
361	0.8227419082	0.4020712512
362	0.8225724453	0.4020162006
363	0.8227419082	0.4019015217
364	0.8227419082	0.4018286477
365	0.822911371	0.4017463063
366	0.8227419082	0.4016705341
367	0.8227419082	0.4015980676
368	0.822911371	0.4014698713
369	0.8227419082	0.4013534834
370	0.8227419082	0.4013049079
371	0.822911371	0.4012697897
372	0.822911371	0.4012144847
373	0.8227419082	0.4011809408
374	0.8230808338	0.4011334053
375	0.822911371	0.4010931466
376	0.8230808338	0.4010473586
377	0.8227419082	0.4009242832
378	0.8227419082	0.4008758287
379	0.8225724453	0.4008323124
380	0.8227419082	0.4007254285
381	0.8230808338	0.4005940489
382	0.8230808338	0.4005183849
383	0.822911371	0.400226422
384	0.8227419082	0.4001256287
385	0.8227419082	0.4000712751
386	0.8227419082	0.3999922162
387	0.8227419082	0.3999303019
388	0.8227419082	0.399850414
389	0.8230808338	0.399744145
390	0.8232502966	0.3997025839
391	0.8230808338	0.3996691639
392	0.8230808338	0.3995165333
393	0.8230808338	0.3994106977
394	0.8230808338	0.3993662925
395	0.8230808338	0.39929032
396	0.8230808338	0.3992169943
397	0.8232502966	0.3991012393
398	0.8232502966	0.3990685323
399	0.8234197594	0.3989924942
400	0.8234197594	0.3989171858
401	0.8234197594	0.3988657914
402	0.8234197594	0.39882462
403	0.8230808338	0.3987911385
404	0.8232502966	0.3986869609
405	0.8232502966	0.3986651548
406	0.8232502966	0.3986523739
407	0.8230808338	0.3984944104
408	0.8227419082	0.398442451
409	0.8227419082	0.3983604698
410	0.8225724453	0.398299749
411	0.8227419082	0.3982139293
412	0.8224029825	0.3981733889
413	0.8224029825	0.398109604
414	0.8224029825	0.3980559744
415	0.8225724453	0.398021743
416	0.8225724453	0.3979842336
417	0.8224029825	0.397891939
418	0.8224029825	0.397864645
419	0.8225724453	0.3978236423
420	0.8225724453	0.397759006
421	0.8225724453	0.3977268355
422	0.8225724453	0.3976948158
423	0.8225724453	0.3976480234
424	0.8225724453	0.3976334653
425	0.8224029825	0.3975791094
426	0.8224029825	0.3975064661
427	0.8225724453	0.397470423
428	0.8225724453	0.3973404326
429	0.8225724453	0.3973033805
430	0.8225724453	0.3972512697
431	0.8227419082	0.3971577817
432	0.8224029825	0.3971195273
433	0.8224029825	0.3970039188
434	0.8224029825	0.3969914635
435	0.8224029825	0.3969308274
436	0.8224029825	0.3968931237
437	0.8220640569	0.3968569386
438	0.8222335197	0.3968030814
439	0.8224029825	0.396763463
440	0.8224029825	0.3967122171
441	0.8225724453	0.3965811127
442	0.8225724453	0.3965512791
443	0.8222335197	0.3964778645
444	0.8220640569	0.3963860103
445	0.8220640569	0.3963348685
446	0.8224029825	0.3962850068
447	0.8224029825	0.3962520462
448	0.8225724453	0.3962230193
449	0.8225724453	0.3961521594
450	0.8225724453	0.396131837
451	0.8227419082	0.3960667385
452	0.8227419082	0.3960212273
453	0.8227419082	0.3959412868
454	0.822911371	0.3957968486
455	0.822911371	0.3956421354
456	0.822911371	0.395602032
457	0.822911371	0.3955577796
458	0.822911371	0.3955116661
459	0.822911371	0.3955096321
460	0.822911371	0.3953509026
461	0.822911371	0.395301205
462	0.822911371	0.3952573181
463	0.822911371	0.3951968607
464	0.822911371	0.3950543055
465	0.8227419082	0.3949693296
466	0.8227419082	0.3949471061
467	0.822911371	0.3949005129
468	0.822911371	0.3948666623
469	0.8230808338	0.3947922447
470	0.8232502966	0.3946095159
471	0.8232502966	0.3945464525
472	0.8234197594	0.3944682199
473	0.8234197594	0.3944110635
474	0.8235892222	0.394386412
475	0.8235892222	0.3943604554
476	0.8232502966	0.3941437544
477	0.8235892222	0.3940603335
478	0.8234197594	0.3940257957
479	0.8232502966	0.3939638716
480	0.8232502966	0.3939158402
481	0.8232502966	0.3938892548
482	0.8232502966	0.3938616646
483	0.8235892222	0.3938135902
484	0.8235892222	0.3937647766
485	0.8239281478	0.3936958326
486	0.8235892222	0.3936439303
487	0.823758685	0.3935758949
488	0.8235892222	0.3935534295
489	0.8235892222	0.3934805473
490	0.823758685	0.3933864825
491	0.8240976106	0.3931613691
492	0.8242670734	0.393098753
493	0.8242670734	0.3930670145
494	0.8240976106	0.3930228526
495	0.8240976106	0.3929878177
496	0.8240976106	0.392910497
497	0.8242670734	0.3928526956
498	0.8240976106	0.3927838565
499	0.8240976106	0.3927428472
500	0.8242670734	0.3926972146
501	0.8242670734	0.3926249954
502	0.8240976106	0.3925110284
503	0.8240976106	0.3923658574
504	0.8240976106	0.3922719148
505	0.8239281478	0.3922227828
506	0.8239281478	0.392138267
507	0.823758685	0.3920990738
508	0.823758685	0.3920811578
509	0.823758685	0.3920424106
510	0.8239281478	0.3920016454
511	0.823758685	0.3919636259
512	0.823758685	0.3919077958
513	0.8239281478	0.3918748972
514	0.823758685	0.3918028422
515	0.8235892222	0.3917378479
516	0.823758685	0.3916563583
517	0.823758685	0.3915551587
518	0.823758685	0.3915119638
519	0.823758685	0.391480513
520	0.8235892222	0.3914234994
521	0.8239281478	0.391384528
522	0.8240976106	0.3912525943
523	0.8242670734	0.3912080316
524	0.8242670734	0.3911853428
525	0.8242670734	0.391175769
526	0.8242670734	0.3911094156
527	0.8242670734	0.3910856405
528	0.824605999	0.3910396328
529	0.8244365362	0.3909970604
530	0.824605999	0.3909535956
531	0.8247754618	0.390938121
532	0.8247754618	0.3908760865
533	0.8247754618	0.3908548028
534	0.824605999	0.3908210953
535	0.8247754618	0.3908012514
536	0.8251143874	0.3907405097
537	0.8251143874	0.3907080427
538	0.8249449246	0.3904833964
539	0.8247754618	0.390416214
540	0.8247754618	0.3903847866
541	0.824605999	0.390327516
542	0.8251143874	0.3902674285
543	0.8252838502	0.3902254778
544	0.8251143874	0.3901878635
545	0.8251143874	0.390158287
546	0.8251143874	0.3901381456
547	0.8251143874	0.3900954901
548	0.825453313	0.3900562485
549	0.8252838502	0.3900171561
550	0.8256227758	0.3899905277
551	0.8256227758	0.3899609214
552	0.825453313	0.3899209753
553	0.825453313	0.3897925969
554	0.825453313	0.3897533813
555	0.825453313	0.3897292978
556	0.825453313	0.3897131168
557	0.8256227758	0.3896674304
558	0.825453313	0.3896199585
559	0.8256227758	0.38959312
560	0.826300627	0.3895010172
561	0.8261311642	0.3894815817
562	0.8261311642	0.3894633712
563	0.8257922386	0.3894312082
564	0.8261311642	0.3892177713
565	0.826300627	0.3891975292
566	0.826300627	0.389087725
567	0.826300627	0.3890635845
568	0.826300627	0.3890314762
569	0.826300627	0.3889915747
570	0.826300627	0.3889478092
571	0.826300627	0.3889176013
572	0.826300627	0.3888658695
573	0.8264700898	0.388851778
574	0.8264700898	0.3887873984
575	0.8266395526	0.3887675457
576	0.8264700898	0.3886491991
577	0.8264700898	0.3886307988
578	0.8266395526	0.3885940516
579	0.8264700898	0.388545658
580	0.8264700898	0.3885042665
581	0.8264700898	0.3884809817
