iter	Passed	Remaining
0	134	133922
1	139	69627
2	150	49852
3	157	39139
4	163	32452
5	167	27818
6	173	24665
7	186	23071
8	203	22428
9	208	20599
10	212	19130
11	217	17878
12	221	16803
13	225	15875
14	229	15071
15	233	14361
16	237	13747
17	241	13193
18	246	12711
19	250	12267
20	254	11864
21	258	11495
22	262	11155
23	267	10864
24	271	10579
25	275	10317
26	279	10071
27	284	9860
28	288	9648
29	292	9449
30	296	9268
31	300	9089
32	304	8932
33	308	8777
34	313	8633
35	317	8493
36	321	8367
37	325	8246
38	329	8126
39	334	8017
40	338	7908
41	342	7811
42	346	7712
43	350	7618
44	354	7527
45	358	7442
46	363	7369
47	367	7290
48	371	7215
49	375	7141
50	380	7079
51	384	7011
52	388	6946
53	392	6883
54	397	6822
55	401	6770
56	405	6713
57	409	6658
58	413	6602
59	420	6581
60	424	6535
61	428	6486
62	433	6443
63	437	6399
64	441	6353
65	445	6310
66	449	6265
67	453	6222
68	458	6184
69	462	6145
70	466	6109
71	471	6071
72	475	6037
73	479	6003
74	483	5966
75	488	5934
76	492	5899
77	496	5868
78	500	5836
79	504	5807
80	509	5776
81	513	5747
82	517	5718
83	521	5688
84	525	5661
85	530	5633
86	534	5607
87	538	5578
88	542	5555
89	546	5528
90	550	5501
91	555	5478
92	559	5452
93	563	5432
94	568	5411
95	572	5389
96	576	5365
97	580	5345
98	584	5323
99	589	5301
100	593	5281
101	597	5259
102	601	5238
103	605	5216
104	609	5196
105	613	5176
106	617	5156
107	622	5138
108	626	5119
109	630	5101
110	634	5081
111	638	5065
112	642	5046
113	647	5031
114	651	5013
115	655	4994
116	659	4980
117	664	4963
118	668	4947
119	672	4930
120	676	4916
121	680	4900
122	684	4882
123	688	4867
124	693	4851
125	697	4841
126	702	4825
127	706	4812
128	710	4796
129	714	4782
130	718	4767
131	722	4752
132	727	4740
133	731	4725
134	735	4712
135	739	4697
136	743	4685
137	747	4672
138	752	4658
139	756	4645
140	760	4631
141	764	4619
142	768	4606
143	772	4594
144	776	4580
145	781	4568
146	785	4555
147	789	4542
148	793	4533
149	797	4521
150	802	4510
151	806	4497
152	811	4491
153	816	4485
154	822	4483
155	827	4476
156	832	4472
157	837	4461
158	841	4450
159	845	4438
160	850	4430
161	854	4418
162	858	4410
163	862	4399
164	867	4388
165	871	4376
166	875	4365
167	880	4361
168	886	4360
169	893	4363
170	913	4430
171	923	4444
172	929	4441
173	934	4434
174	940	4431
175	945	4425
176	951	4423
177	956	4418
178	961	4411
179	968	4410
180	973	4403
181	978	4399
182	984	4397
183	989	4390
184	995	4387
185	1001	4383
186	1007	4381
187	1014	4383
188	1022	4385
189	1029	4387
190	1036	4391
191	1042	4388
192	1048	4382
193	1053	4375
194	1058	4371
195	1064	4367
196	1069	4360
197	1075	4357
198	1081	4352
199	1087	4351
200	1093	4344
201	1098	4339
202	1104	4338
203	1111	4338
204	1119	4339
205	1128	4350
206	1135	4349
207	1142	4351
208	1148	4347
209	1154	4344
210	1160	4338
211	1166	4335
212	1172	4330
213	1177	4326
214	1182	4318
215	1188	4314
216	1194	4311
217	1200	4305
218	1205	4300
219	1211	4296
220	1217	4292
221	1222	4283
222	1228	4281
223	1235	4279
224	1240	4274
225	1246	4267
226	1250	4258
227	1254	4248
228	1259	4239
229	1263	4230
230	1267	4221
231	1272	4211
232	1276	4201
233	1280	4191
234	1285	4183
235	1289	4173
236	1293	4164
237	1297	4154
238	1302	4147
239	1306	4137
240	1310	4128
241	1314	4118
242	1318	4108
243	1323	4100
244	1327	4090
245	1331	4081
246	1335	4072
247	1340	4066
248	1346	4061
249	1351	4055
250	1356	4047
251	1365	4052
252	1370	4045
253	1374	4037
254	1379	4030
255	1383	4020
256	1387	4012
257	1391	4002
258	1396	3994
259	1400	3985
260	1404	3976
261	1408	3967
262	1412	3958
263	1416	3950
264	1421	3941
265	1425	3932
266	1429	3924
267	1433	3915
268	1437	3907
269	1441	3898
270	1446	3890
271	1450	3881
272	1454	3873
273	1458	3864
274	1462	3855
275	1466	3847
276	1470	3838
277	1475	3831
278	1479	3822
279	1483	3815
280	1487	3806
281	1491	3798
282	1498	3796
283	1504	3794
284	1511	3792
285	1517	3789
286	1523	3783
287	1529	3780
288	1534	3775
289	1540	3770
290	1545	3766
291	1551	3761
292	1556	3756
293	1562	3751
294	1567	3747
295	1573	3742
296	1579	3739
297	1584	3733
298	1589	3727
299	1595	3722
300	1600	3717
301	1606	3712
302	1611	3706
303	1617	3702
304	1622	3697
305	1629	3694
306	1633	3687
307	1639	3682
308	1643	3675
309	1647	3666
310	1651	3658
311	1656	3651
312	1660	3643
313	1664	3636
314	1668	3628
315	1672	3620
316	1677	3613
317	1681	3605
318	1685	3598
319	1689	3590
320	1693	3583
321	1697	3575
322	1702	3567
323	1706	3560
324	1710	3552
325	1714	3544
326	1718	3536
327	1724	3532
328	1728	3524
329	1732	3517
330	1737	3511
331	1741	3503
332	1745	3496
333	1749	3488
334	1753	3481
335	1757	3474
336	1762	3466
337	1766	3459
338	1770	3452
339	1774	3445
340	1779	3439
341	1783	3432
342	1788	3425
343	1794	3421
344	1801	3420
345	1805	3412
346	1810	3406
347	1814	3399
348	1818	3392
349	1822	3384
350	1826	3377
351	1831	3371
352	1835	3364
353	1839	3357
354	1844	3350
355	1849	3345
356	1854	3339
357	1858	3332
358	1862	3325
359	1866	3318
360	1870	3311
361	1874	3304
362	1904	3341
363	1909	3336
364	1916	3334
365	1921	3329
366	1928	3326
367	1934	3322
368	1940	3318
369	1946	3313
370	1950	3307
371	1955	3301
372	1960	3295
373	1965	3289
374	1969	3283
375	1974	3277
376	1978	3270
377	1983	3263
378	1987	3255
379	1991	3248
380	1995	3241
381	1999	3234
382	2003	3227
383	2007	3220
384	2011	3213
385	2015	3206
386	2019	3199
387	2025	3194
388	2030	3188
389	2034	3182
390	2040	3178
391	2046	3173
392	2051	3169
393	2057	3164
394	2062	3159
395	2069	3155
396	2074	3151
397	2079	3145
398	2085	3141
399	2091	3137
400	2097	3133
401	2103	3128
402	2109	3124
403	2114	3119
404	2120	3115
405	2126	3111
406	2132	3107
407	2137	3101
408	2142	3096
409	2148	3091
410	2155	3089
411	2164	3089
412	2172	3087
413	2180	3086
414	2186	3082
415	2204	3094
416	2210	3090
417	2215	3085
418	2220	3079
419	2224	3072
420	2228	3065
421	2233	3059
422	2237	3052
423	2241	3045
424	2245	3038
425	2251	3033
426	2255	3026
427	2259	3019
428	2263	3013
429	2267	3006
430	2272	2999
431	2276	2992
432	2280	2986
433	2284	2979
434	2288	2972
435	2292	2966
436	2297	2959
437	2301	2952
438	2305	2946
439	2309	2939
440	2313	2932
441	2317	2926
442	2322	2919
443	2326	2912
444	2330	2906
445	2334	2899
446	2339	2894
447	2343	2887
448	2347	2880
449	2351	2874
450	2355	2867
451	2360	2861
452	2364	2854
453	2368	2848
454	2372	2842
455	2376	2835
456	2381	2829
457	2385	2822
458	2389	2816
459	2393	2810
460	2398	2803
461	2402	2797
462	2406	2790
463	2410	2784
464	2414	2777
465	2418	2771
466	2422	2765
467	2426	2758
468	2430	2752
469	2435	2746
470	2439	2739
471	2443	2733
472	2447	2727
473	2451	2720
474	2456	2714
475	2460	2708
476	2464	2701
477	2468	2695
478	2472	2689
479	2476	2683
480	2480	2676
481	2485	2670
482	2489	2664
483	2493	2658
484	2497	2652
485	2501	2645
486	2505	2639
487	2509	2633
488	2514	2627
489	2518	2621
490	2522	2615
491	2526	2609
492	2531	2603
493	2535	2597
494	2539	2591
495	2543	2584
496	2547	2578
497	2552	2572
498	2556	2566
499	2560	2560
500	2564	2554
