iter	Accuracy	Logloss
0	0.7237687366	0.6906792701
1	0.7109207709	0.6888626847
2	0.7173447537	0.6870635549
3	0.7194860814	0.6849800518
4	0.7323340471	0.6828994971
5	0.7259100642	0.6806941786
6	0.7323340471	0.6789336808
7	0.7259100642	0.6774558355
8	0.7323340471	0.6760112504
9	0.7323340471	0.6741404917
10	0.7301927195	0.6732456861
11	0.7344753747	0.6718131837
12	0.7344753747	0.6703308349
13	0.7323340471	0.6689154522
14	0.7344753747	0.6673291381
15	0.7366167024	0.6657304458
16	0.7366167024	0.6643042247
17	0.7344753747	0.6635698405
18	0.7366167024	0.661987301
19	0.7430406852	0.6604783631
20	0.7430406852	0.6591831771
21	0.7408993576	0.6574831154
22	0.7430406852	0.6567831001
23	0.7451820128	0.6551832393
24	0.7473233405	0.6535405498
25	0.7537473233	0.6523334238
26	0.7516059957	0.6506889889
27	0.7516059957	0.6489015539
28	0.7451820128	0.6473919617
29	0.7494646681	0.6464300292
30	0.7537473233	0.644868743
31	0.7516059957	0.6435783544
32	0.7516059957	0.6424766139
33	0.7494646681	0.6412636748
34	0.7494646681	0.6396262912
35	0.7516059957	0.6386758384
36	0.7537473233	0.6372604579
37	0.7537473233	0.6363597211
38	0.7580299786	0.6344147495
39	0.7537473233	0.6327963157
40	0.7516059957	0.6313847044
41	0.7537473233	0.6308540634
42	0.7537473233	0.6294944846
43	0.7516059957	0.6288480953
44	0.7537473233	0.6282388384
45	0.7537473233	0.627776618
46	0.7516059957	0.6274444302
47	0.7494646681	0.6260490134
48	0.7494646681	0.6246977064
49	0.7451820128	0.6239150827
50	0.7494646681	0.622978866
51	0.7494646681	0.6220676051
52	0.7494646681	0.6211592278
53	0.7494646681	0.6199190435
54	0.7451820128	0.6191765092
55	0.7516059957	0.618351214
56	0.7430406852	0.6171042556
57	0.7494646681	0.615680176
58	0.7516059957	0.6144102665
59	0.7516059957	0.6135200744
60	0.7537473233	0.6125179493
61	0.7516059957	0.6118308001
62	0.7473233405	0.610831838
63	0.7516059957	0.6100007048
64	0.7516059957	0.6088739428
65	0.7473233405	0.6083003514
66	0.7473233405	0.607428835
67	0.7494646681	0.6066380319
68	0.7516059957	0.6061294162
69	0.7516059957	0.6051865097
70	0.755888651	0.6045682571
71	0.7516059957	0.6038951309
72	0.7494646681	0.6028934941
73	0.7516059957	0.6024170851
74	0.7537473233	0.601354615
75	0.7537473233	0.6002766037
76	0.7537473233	0.5998493075
77	0.7537473233	0.5987925226
78	0.7537473233	0.597966687
79	0.7580299786	0.5970155456
80	0.7580299786	0.5966180265
81	0.755888651	0.595874148
82	0.7580299786	0.5952265767
83	0.755888651	0.59438851
84	0.7601713062	0.5934972425
85	0.755888651	0.5924760303
86	0.7537473233	0.5919162359
87	0.7601713062	0.5911797513
88	0.7580299786	0.5907261029
89	0.7623126338	0.5897057578
90	0.7601713062	0.5888770045
91	0.7601713062	0.588094738
92	0.7601713062	0.5874276478
93	0.7601713062	0.5868673869
94	0.7644539615	0.5859210598
95	0.7623126338	0.5852077601
96	0.7623126338	0.5848385664
97	0.7644539615	0.5842752235
98	0.7644539615	0.5833638194
99	0.7644539615	0.582777466
100	0.7665952891	0.5817392272
101	0.7665952891	0.5807149116
102	0.7665952891	0.57985045
103	0.7601713062	0.5791154373
104	0.7580299786	0.5786834564
105	0.755888651	0.5784627174
106	0.7580299786	0.5777635019
107	0.7580299786	0.5774204783
108	0.7601713062	0.5769281354
109	0.7601713062	0.5761160592
110	0.7601713062	0.5752794607
111	0.7601713062	0.5747460392
112	0.7580299786	0.5740637568
113	0.7601713062	0.5734457068
114	0.7601713062	0.5729321665
115	0.7601713062	0.5722925911
116	0.7580299786	0.5720648243
117	0.7601713062	0.5713452068
118	0.7623126338	0.571027158
119	0.7644539615	0.5706058578
120	0.7623126338	0.5698933644
121	0.7623126338	0.5695833323
122	0.7623126338	0.5689191571
123	0.7623126338	0.568300719
124	0.7623126338	0.5678765761
125	0.7601713062	0.5673438753
126	0.7601713062	0.5666136894
127	0.7601713062	0.5656130291
128	0.7601713062	0.5653762771
129	0.7623126338	0.5650685683
130	0.7601713062	0.5648268588
131	0.7623126338	0.5639920136
132	0.7623126338	0.5634720317
133	0.7623126338	0.5625757289
134	0.7644539615	0.5617442616
135	0.7665952891	0.561152995
136	0.7623126338	0.5605993313
137	0.7580299786	0.5599406444
138	0.7644539615	0.5593141706
139	0.7665952891	0.5589189172
140	0.7623126338	0.5584266
141	0.7644539615	0.5582863024
142	0.7623126338	0.5576460271
143	0.7623126338	0.5570320299
144	0.7601713062	0.5566191148
145	0.7623126338	0.5560266246
146	0.7623126338	0.5556258355
147	0.7623126338	0.5548513254
148	0.7601713062	0.5543191863
149	0.7601713062	0.5536782123
150	0.7580299786	0.5531598754
151	0.7580299786	0.5527024333
152	0.7601713062	0.5521605008
153	0.7601713062	0.5517995813
154	0.7623126338	0.5512928672
155	0.7580299786	0.5510587112
156	0.755888651	0.5506876525
157	0.7580299786	0.5502767446
158	0.7580299786	0.5500223241
159	0.7601713062	0.549693814
160	0.7580299786	0.5491889468
161	0.7601713062	0.5489590599
162	0.7580299786	0.5487508201
163	0.7601713062	0.5480724407
164	0.7580299786	0.5476782505
165	0.7601713062	0.5472866989
166	0.7601713062	0.5470105351
167	0.7601713062	0.5469269005
168	0.7601713062	0.5465613593
169	0.7601713062	0.5461729992
170	0.7601713062	0.545944001
171	0.7601713062	0.5456606822
172	0.7601713062	0.5453582343
173	0.7601713062	0.5451376281
174	0.7623126338	0.5446447106
175	0.7623126338	0.5441952272
176	0.7601713062	0.5437060503
177	0.7601713062	0.5432582036
178	0.7601713062	0.5428042612
179	0.7623126338	0.5424060587
180	0.7644539615	0.5417080562
181	0.7665952891	0.5414752213
182	0.7665952891	0.5408509811
183	0.7644539615	0.5401891829
184	0.7644539615	0.5398097666
185	0.7644539615	0.5394647528
186	0.7644539615	0.5390418493
187	0.7644539615	0.5388674528
188	0.7644539615	0.5385442999
189	0.7644539615	0.5380470337
190	0.7623126338	0.5377520468
191	0.7644539615	0.537391332
192	0.7623126338	0.536948508
193	0.7623126338	0.5365194123
194	0.7623126338	0.5358986756
195	0.7644539615	0.5355487042
196	0.7644539615	0.5354271492
197	0.7665952891	0.5350464674
198	0.7665952891	0.5348965775
199	0.7687366167	0.5343686926
200	0.7687366167	0.5339791949
201	0.7708779443	0.5334333004
202	0.7708779443	0.5332118787
203	0.7687366167	0.5326917551
204	0.7687366167	0.5322766338
205	0.7687366167	0.53181782
206	0.7708779443	0.5313439292
207	0.7708779443	0.5310685819
208	0.7708779443	0.5306816286
209	0.7708779443	0.5303451592
210	0.7687366167	0.5300095195
211	0.7708779443	0.5297768519
212	0.7687366167	0.5294041744
213	0.7687366167	0.5289587116
214	0.7687366167	0.5285336302
215	0.7687366167	0.5281340174
216	0.7708779443	0.5277743305
217	0.7730192719	0.5273099415
218	0.7708779443	0.527147358
219	0.7730192719	0.5267673562
220	0.7730192719	0.5264854478
221	0.7730192719	0.5260203464
222	0.7730192719	0.5257273312
223	0.7730192719	0.5256333379
224	0.7730192719	0.5254718888
225	0.7730192719	0.5247995131
226	0.7730192719	0.5243755077
227	0.7730192719	0.5241103022
228	0.7730192719	0.5237580503
229	0.7730192719	0.5236809976
230	0.7730192719	0.5234667526
231	0.7730192719	0.5232404609
232	0.7730192719	0.5230460597
233	0.7730192719	0.5226960807
234	0.7730192719	0.5220844508
235	0.7708779443	0.5214768996
236	0.7730192719	0.5211446347
237	0.7708779443	0.5207974485
238	0.7708779443	0.5205226372
239	0.7708779443	0.520194219
240	0.7751605996	0.5199653009
241	0.7751605996	0.5198037156
242	0.7730192719	0.5193301184
243	0.7751605996	0.5191334982
244	0.7751605996	0.5189393677
245	0.7751605996	0.5187332613
246	0.7751605996	0.5184814555
247	0.7730192719	0.5181007542
248	0.7708779443	0.517841822
249	0.7708779443	0.5175832406
250	0.7708779443	0.5174469566
251	0.7730192719	0.5171483655
252	0.7708779443	0.5169964803
253	0.7708779443	0.5167958689
254	0.7708779443	0.5166444306
255	0.7708779443	0.5164623623
256	0.7708779443	0.5161256462
257	0.7730192719	0.5156666559
258	0.7708779443	0.5154007262
259	0.7730192719	0.5150042174
260	0.7708779443	0.5147880627
261	0.7708779443	0.5145539992
262	0.7708779443	0.5143481466
263	0.7708779443	0.5138324592
264	0.7730192719	0.513448293
265	0.7730192719	0.5132861822
266	0.7730192719	0.5129588751
267	0.7730192719	0.512704366
268	0.7708779443	0.5124809051
269	0.7687366167	0.5120423231
270	0.7687366167	0.5116916604
271	0.7687366167	0.5114388884
272	0.7730192719	0.5112381723
273	0.7730192719	0.5109666408
274	0.7730192719	0.5107778498
275	0.7708779443	0.5103586496
276	0.7730192719	0.5099031712
277	0.7708779443	0.5097093265
278	0.7708779443	0.5093353603
279	0.7687366167	0.5091643676
280	0.7687366167	0.5090437813
281	0.7687366167	0.5089643191
282	0.7751605996	0.5087087365
283	0.7751605996	0.5085264246
284	0.7708779443	0.5082476409
285	0.7708779443	0.5079955348
286	0.7708779443	0.5075144063
287	0.7708779443	0.5072941792
288	0.7708779443	0.5072010755
289	0.7730192719	0.5069362385
290	0.7773019272	0.5064553503
291	0.7751605996	0.5062694151
292	0.7730192719	0.5060741482
293	0.7751605996	0.5059034434
294	0.7730192719	0.5056592785
295	0.7730192719	0.5055101446
296	0.7751605996	0.5053021787
297	0.7751605996	0.5050231969
298	0.7773019272	0.5047856369
299	0.7751605996	0.5041893276
300	0.7773019272	0.5039692895
301	0.7773019272	0.503862234
302	0.7794432548	0.503580767
303	0.7794432548	0.5034200741
304	0.7794432548	0.5026022303
305	0.7794432548	0.5024504715
306	0.7815845824	0.5020925502
307	0.7773019272	0.5017666124
308	0.7773019272	0.501732197
309	0.7773019272	0.5012328625
310	0.7773019272	0.5010590046
311	0.7773019272	0.5007970546
312	0.7773019272	0.5005025242
313	0.7773019272	0.5001971672
314	0.7773019272	0.4998181115
315	0.7794432548	0.4995949392
316	0.7794432548	0.4991967183
317	0.7794432548	0.4988487522
318	0.7794432548	0.4986655591
319	0.7773019272	0.4985388448
320	0.7773019272	0.4983051835
321	0.7773019272	0.4982122846
322	0.7773019272	0.4978660499
323	0.7773019272	0.4975731715
324	0.7773019272	0.4973871857
325	0.7773019272	0.4970856565
326	0.7773019272	0.4970271139
327	0.7773019272	0.4968730334
328	0.7794432548	0.4966785285
329	0.7794432548	0.4965076682
330	0.7773019272	0.4962201322
331	0.7730192719	0.4958923246
332	0.7730192719	0.4956065172
333	0.7730192719	0.4953185146
334	0.7730192719	0.4950651187
335	0.7751605996	0.4948285262
336	0.7773019272	0.4945382247
337	0.7773019272	0.4943931162
338	0.7773019272	0.494246635
339	0.7773019272	0.4940450433
340	0.7794432548	0.4933860921
341	0.7794432548	0.4930088937
342	0.7794432548	0.4929043414
343	0.7794432548	0.4926249089
344	0.7794432548	0.4925377782
345	0.7794432548	0.4922333856
346	0.7794432548	0.4918205651
347	0.7815845824	0.4916864289
348	0.7837259101	0.4915512672
349	0.7837259101	0.4915224136
350	0.7837259101	0.4912766898
351	0.7837259101	0.4908741882
352	0.7837259101	0.4903775346
353	0.7837259101	0.4901888251
354	0.7837259101	0.489987024
355	0.7837259101	0.4898472275
356	0.7837259101	0.4896968494
357	0.7837259101	0.4895329544
358	0.7837259101	0.4893673648
359	0.7837259101	0.4891740905
360	0.7837259101	0.4890754775
361	0.7837259101	0.4888727623
362	0.7837259101	0.4886946198
363	0.7837259101	0.4884980925
364	0.7837259101	0.4884420797
365	0.7837259101	0.4881869576
366	0.7837259101	0.4878641807
367	0.7837259101	0.4877499711
368	0.7858672377	0.4874021277
369	0.7880085653	0.4872685365
370	0.7858672377	0.4868293653
371	0.7858672377	0.4866403649
372	0.7880085653	0.4864242441
373	0.7858672377	0.4863464038
374	0.7922912206	0.485980686
375	0.7880085653	0.4857645427
376	0.7880085653	0.4853075042
377	0.7901498929	0.4851444621
378	0.7901498929	0.4849680153
379	0.7901498929	0.4847856109
380	0.7901498929	0.4845599503
381	0.7901498929	0.4844560467
382	0.7901498929	0.4841827539
383	0.7880085653	0.4839414925
384	0.7858672377	0.4835970101
385	0.7858672377	0.4833476041
386	0.7858672377	0.4832470331
387	0.7858672377	0.4830725861
388	0.7858672377	0.4829342458
389	0.7858672377	0.4826950942
390	0.7858672377	0.4825747404
391	0.7858672377	0.4823904024
392	0.7858672377	0.4821792202
393	0.7858672377	0.4820996557
394	0.7880085653	0.4819079986
395	0.7880085653	0.4818029652
396	0.7858672377	0.4816609217
397	0.7880085653	0.481568497
398	0.7880085653	0.4814272003
399	0.7858672377	0.4811908252
400	0.7858672377	0.4809197286
401	0.7858672377	0.480856477
402	0.7880085653	0.4802060951
403	0.7944325482	0.4799556266
404	0.7922912206	0.4797839532
405	0.7944325482	0.4794429414
406	0.7944325482	0.4793878765
407	0.7944325482	0.4791656399
408	0.7944325482	0.4785628341
409	0.7944325482	0.4784714356
410	0.7944325482	0.4782871058
411	0.7965738758	0.478139224
412	0.7965738758	0.4779581577
413	0.7965738758	0.4778400079
414	0.7965738758	0.4776057527
415	0.7965738758	0.4775452502
416	0.7965738758	0.4773225012
417	0.7965738758	0.4772093766
418	0.7965738758	0.4771221093
419	0.7987152034	0.4766831109
420	0.7987152034	0.4764908042
