iter	Passed	Remaining
0	3	3066
1	5	2926
2	8	2882
3	12	3055
4	15	2986
5	17	2981
6	21	3019
7	23	2967
8	26	2938
9	29	2918
10	32	2919
11	36	2973
12	38	2940
13	41	2954
14	45	2958
15	48	2997
16	52	3007
17	54	2996
18	57	2982
19	60	2980
20	64	2985
21	66	2971
22	69	2957
23	73	2974
24	76	2970
25	79	2962
26	81	2949
27	85	2973
28	88	2965
29	91	2958
30	94	2947
31	97	2943
32	100	2943
33	103	2937
34	107	2957
35	110	2946
36	112	2936
37	115	2930
38	118	2920
39	121	2920
40	124	2907
41	127	2901
42	130	2899
43	133	2896
44	135	2883
45	139	2882
46	141	2877
47	145	2893
48	148	2886
49	151	2877
50	154	2882
51	158	2884
52	161	2882
53	164	2874
54	166	2865
55	170	2872
56	173	2863
57	176	2862
58	179	2859
59	182	2853
60	184	2847
61	187	2841
62	190	2837
63	193	2833
64	197	2836
65	200	2830
66	203	2833
67	206	2831
68	209	2825
69	212	2822
70	215	2816
71	217	2809
72	220	2806
73	223	2801
74	226	2798
75	229	2791
76	232	2790
77	236	2790
78	238	2782
79	241	2775
80	245	2780
81	247	2776
82	251	2776
83	254	2772
84	256	2765
85	259	2760
86	262	2753
87	265	2751
88	268	2751
89	271	2747
90	274	2741
91	277	2735
92	280	2731
93	283	2730
94	286	2731
95	289	2725
96	292	2720
97	295	2723
98	298	2719
99	301	2717
100	304	2710
101	307	2704
102	310	2704
103	313	2702
104	316	2699
105	319	2696
106	322	2688
107	324	2684
108	327	2679
109	331	2681
110	334	2678
111	337	2675
112	340	2672
113	343	2669
114	348	2678
115	350	2672
116	354	2672
117	357	2674
118	360	2670
119	363	2663
120	365	2658
121	369	2660
122	372	2656
123	374	2648
124	378	2651
125	381	2647
126	384	2643
127	387	2641
128	390	2639
129	393	2636
130	396	2632
131	400	2636
132	404	2633
133	407	2636
134	410	2631
135	413	2625
136	417	2627
137	419	2623
138	423	2622
139	426	2617
140	428	2612
141	432	2611
142	435	2607
143	437	2602
144	440	2597
145	443	2594
146	446	2588
147	449	2586
148	451	2581
149	454	2578
150	458	2577
151	461	2574
152	464	2570
153	467	2568
154	470	2565
155	473	2563
156	476	2559
157	479	2554
158	482	2552
159	486	2551
160	488	2546
161	491	2542
162	494	2540
163	497	2537
164	500	2532
165	503	2529
166	506	2527
167	511	2531
168	513	2526
169	516	2520
170	519	2516
171	522	2513
172	524	2507
173	527	2502
174	529	2498
175	532	2492
176	535	2488
177	537	2482
178	540	2478
179	543	2475
180	545	2468
181	548	2465
182	550	2459
183	553	2453
184	556	2452
185	559	2447
186	561	2443
187	564	2439
188	567	2435
189	571	2435
190	574	2432
191	577	2428
192	580	2427
193	588	2445
194	591	2443
195	595	2441
196	597	2435
197	599	2428
198	602	2424
199	605	2420
200	608	2417
201	610	2412
202	613	2407
203	615	2401
204	619	2401
205	621	2395
206	623	2390
207	626	2385
208	628	2379
209	631	2375
210	635	2374
211	637	2369
212	639	2363
213	642	2359
214	645	2355
215	648	2352
216	650	2347
217	652	2341
218	655	2336
219	658	2334
220	660	2329
221	663	2323
222	665	2319
223	668	2314
224	670	2310
225	673	2306
226	676	2302
227	678	2297
228	681	2292
229	683	2287
230	685	2283
231	688	2278
232	690	2274
233	694	2272
234	697	2269
235	699	2264
236	702	2260
237	704	2255
238	707	2252
239	710	2250
240	713	2247
241	716	2242
242	719	2240
243	723	2241
244	725	2237
245	728	2232
246	730	2227
247	732	2220
248	735	2218
249	737	2213
250	740	2208
251	742	2203
252	744	2197
253	746	2192
254	748	2186
255	750	2180
256	752	2175
257	754	2169
258	756	2164
259	758	2158
260	760	2152
261	762	2146
262	765	2144
263	767	2139
264	769	2133
265	771	2128
266	773	2123
267	775	2118
268	777	2113
269	780	2109
270	782	2104
271	784	2098
272	786	2093
273	788	2089
274	790	2084
275	792	2079
276	794	2074
277	797	2072
278	799	2067
279	802	2063
280	804	2058
281	806	2054
282	809	2050
283	811	2045
284	816	2047
285	819	2045
286	822	2042
287	824	2037
288	825	2032
289	827	2026
290	830	2022
291	832	2018
292	834	2013
293	837	2010
294	839	2005
295	841	2002
296	844	1999
297	847	1995
298	849	1991
299	852	1988
300	855	1987
301	860	1989
302	863	1986
303	865	1980
304	867	1975
305	869	1972
306	871	1967
307	873	1962
308	875	1958
309	878	1954
310	880	1950
311	882	1945
312	884	1941
313	886	1936
314	888	1932
315	890	1928
316	893	1924
317	895	1919
318	897	1915
319	899	1911
320	901	1906
321	903	1902
322	905	1898
323	908	1894
324	910	1890
325	911	1885
326	914	1883
327	917	1879
328	919	1875
329	921	1870
330	923	1866
331	925	1862
332	927	1857
333	929	1853
334	932	1850
335	934	1846
336	936	1841
337	938	1837
338	940	1833
339	942	1828
340	945	1826
341	946	1821
342	949	1817
343	951	1813
344	953	1809
345	955	1805
346	957	1802
347	959	1798
348	962	1794
349	964	1790
350	966	1786
351	968	1783
352	971	1779
353	973	1776
354	975	1772
355	977	1768
356	979	1764
357	981	1760
358	984	1758
359	987	1754
360	989	1750
361	990	1746
362	993	1742
363	995	1738
364	997	1735
365	1000	1732
366	1002	1729
367	1004	1725
368	1006	1720
369	1008	1717
370	1011	1714
371	1013	1710
372	1015	1706
373	1017	1702
374	1019	1698
375	1021	1694
376	1024	1692
377	1025	1688
378	1027	1684
379	1029	1680
380	1032	1676
381	1034	1672
382	1036	1669
383	1038	1666
384	1040	1662
385	1042	1658
386	1044	1654
387	1047	1652
388	1050	1649
389	1052	1645
390	1054	1642
391	1056	1638
392	1057	1634
393	1059	1630
